ID,问题,答案
gysxdmx_00056,"列出2024/8/24~8/25的小艇检查的时间点（以json格式输出，同一天有多次则用下划线加数字表示如{""20240824_1"": ""00:00""}）","{\"20240824_1\": \"08:23\",\"20240824_2\": \"16:38\",\"20240825_1\": \"08:20\",\"20240825_2\": \"16:38\"}"
gysxdmx_00057,统计2024/8/24-8/30征服者在16:00前出水的比例（%，保留2位小数）,"14.29%"
gysxdmx_00058,统计2024/8/24-8/30在9点前开始作业的比例（%，保留2位小数）,"100.00%"
gysxdmx_00059,统计2024/8/24-8/30征服者在9点前入水的比例（%，保留2位小数）,"100.00%"
gysxdmx_00060,24年5月19日A架的开机时间分别是几点，关机时间分别是几点？（请以XX:XX输出）？,【开机时间】分别是07:30和15:41和【关机时间】分别是15:39和17:24
gysxdmx_00061,2024年5月20日征服者入水的时间是？（请以XX:XX输出）,07:18，【征服者入水】的时间是07:18:50
gysxdmx_00062,2024年5月20日征服者入水后A架摆回到位的时间是？（请以XX:XX输出）,07:27，【征服者入水】的时间是07:18:50，【A架摆回】的时间是07:23:50，无电流为07:27:50
gysxdmx_00063,2024年5月20日7点23分发生了什么动作？,【A架摆回】
gysxdmx_00064,24年8月19日12至13点A架是否开始运行？Y：是；N：否。请回答Y或N,N：否
gysxdmx_00065,24年8月23日上午折臂吊开机和关机的时间分别是几点？（请用XX:XX表示）,【折臂吊车开机】的时间分别是08:16和09:30和【折臂吊车关机】的时间分别是08:33和10:24
gysxdmx_00066,24年8月27日下午17点16分发生了什么？,【折臂吊车关机】
gysxdmx_00067,控制A架左舷的字段名称是？,Ajia-1_v
gysxdmx_00068,一号柴油发电机组有功功率测量的范围是多少kW到多少kW？,整数：-250kW ~ 2000kW，1位小数：-250.0kW ~ 2000.0kW，2位小数：-250.00kW ~ 2000.00kW
gysxdmx_00069,一号柴油发电机组滑油压力低于多少kPa会停车？,整数：180kPa，1位小数：180.0kPa，2位小数：180.00kPa，安全保护设定值【低于 180kPa 触发 Alarm state】
gysxdmx_00070,二零二四年五月十九日A架的开机时长是多久？（请以XX小时XX分钟输出时长）,09小时52分钟，35520秒
gysxdmx_00071,2024年5月19日A架的实际运行时长是多久？效率是多少？（请以XX:XX输出时长，XX.XX%输出效率）？,实际运行时长为01:03，效率为10.64%
gysxdmx_00072,5月20日征服者入水A架外摆的最大角度范围分别是多少度，持续了多久？（请以XX:XX输出）？,右舷-43.5648°，左舷-43.9897°，持续时间00:04分钟
gysxdmx_00073,24年8月23日上午折臂吊开机时长为多久？（请用XX分钟表示）,整数：71分钟，1位小数：71.4分钟，2位小数：71.40分钟，4284.0秒
gysxdmx_00074,24年8月23日征服者入水时间距离征服者出水时间是多久？（请用XX小时XX分钟表示）,08小时45分钟，2024年8月23日【征服者入水】的时间是10:17:08，【征服者出水】的时间是19:02:08
gysxdmx_00075,5月20日征服者入水到A架摆回用了多少时间？,整数：5分钟，1位小数：5.0分钟，2位小数：5.00分钟，00:05，300秒，【征服者入水】的时间是07:18:00，【A架摆回】的时间是07:23:00
gysxdmx_00076,停泊发电机组转速为1800RPM会发生什么？,报警机制，设备参数上限为2000.0RPM，因此预警值对应的转速为2000.0RPM的75%，即1500.0RPM，触发预警
gysxdmx_00077,停泊/应急发电机组转速高于多少RPM时会发生预警？,整数：1500RPM，1位小数：1500.0RPM，2位小数：1500.00RPM，设备参数上限为2000.0RPM，因此预警值对应的转速为2000.0RPM的75%，即1500.0RPM，触发预警
gysxdmx_00078,8月23日A架的数据是否正常，从下列选项中选出正确答案？A:正常；B:异常。,A:正常；B:异常
gysxdmx_00079,8月24日征服者落座几分钟后A架关机的？,4分钟，整数：18分钟，1位小数：18.0分钟，2位小数：18.00分钟，00:18，1080秒，【征服者落座】时间为17:23:00；【A架关机】的时间为09:09和17:41
gysxdmx_00080,8月15日早上，A架的开机时间是几点（请以XX:XX输出）？,07:58，07:58:00
gysxdmx_00081,在2024年8月15日8时03分，绞车B张力是多少，保留2位小数？,0.28kN，0.275216kN
gysxdmx_00082,在2024年8月28日，A架的关机时间是几点（请以XX:XX输出）,09:03，09:03:00
gysxdmx_00083,在2024年8月17日11时32分，绞车变频器的频率是多少？,6007Hz
gysxdmx_00084,在2024年9月8日4时29分，一号柴油发电机组的转速是多少？,1797RPM
gysxdmx_00085,在2024年8月27日21时09分，二号柴油发电机组燃油消耗率是多少？,135L/h，135.0L/h，135.00L/h
gysxdmx_00086,在2024年8月27日21时09分，一号柴油发电机组转速是多少？,0RPM
gysxdmx_00087,在2024年9月3日7时28分艏推主开关电流是多少？,317A
gysxdmx_00088,在2024年9月7日23时38分，绞车变频器-Uc电压的值是多少？,表中数值为6972V，实际值为697.2V
gysxdmx_00089,在2024年9月1日6时29分，折臂吊车液压的频率是多少？,表中数值为5997Hz，实际数值为59.97Hz
gysxdmx_00090,在2024年8月15日15时30分，二号舵桨方位反馈是多少？,-88.00%，-88%
gysxdmx_00091,在2024年9月1日6时29分， 折臂吊车液压-Uc电压是多少？,表中数值为6958V，实际数值为695.8V
gysxdmx_00092,在2024年8月15日8时52分， 二号舵桨转速反馈是多少？,57.0RPM、57RPM、57.00RPM
gysxdmx_00093,在2024年9月3日，折臂吊车最后一次开机是什么时候（请以XX:XX输出）？,21:57，折臂吊车开机的所有时间点【06:27:03】、【14:34:29】和【21:57:10】
gysxdmx_00094,在2024年9月7日，ON DP是什么时候（请以XX:XX输出）？,【ON_DP】的时间为15:23和20:57
gysxdmx_00095,在2024年8月24日，A架第二次开机是什么时候（请以XX:XX输出）？,16:03，A架的开机时间分别是07:55和16:03
gysxdmx_00096,在2024年8月30日，A架一共开机多少次？,3次，【A架开机】的时间点为15:00和21:53
gysxdmx_00097,在2024年8月23日，征服者第一次出水是什么时候（请以XX:XX输出）？,19:02，【征服者出水】的时间是19:02:00
gysxdmx_00098,在2024年8月23日，A架最后一次关机是什么时候（请以XX:XX输出）？,19:18，【A架关机】的时间点为10:30:00和19:18:00
gysxdmx_00099,在2024年8月24日，小艇最后一次落座是什么时候（请以XX:XX输出）？,17:23，【小艇落座】的时间点是17:23:44
gysxdmx_00100,在2024年8月24日，折臂吊车关机是什么时候（请以XX:XX输出）？,09:00、17:24和22:31，折臂吊车关机的时间分别为09:00:17、17:24:44和22:31:14
